han	phien_am
大越史記外紀全書卷之一	Đại Việt Sử Ký Ngoại Kỷ Toàn Thư Quyển Chi Nhất.
朝列大夫國子監司業兼史官修撰臣吳士連編	Triều liệt đại phu, Quốc Tử Giám Tư nghiệp, kiêm Sử quan tu soạn, thần Ngô Sĩ Liên biên.
按黄帝時建萬國以交趾界於西南遠在百粤之表	Án: Hoàng đế thời, kiến vạn quốc, dĩ Giao Chỉ giới ư Tây Nam, viễn tại Bách Việt chi biểu.
堯命𦏁氏宅南交定南方交趾之地	Nghiêu mệnh Hi thị trạch Nam Giao, định Nam phương Giao Chỉ chi địa.
禹别九州百粤爲楊州域交趾属焉	Vũ biệt cửu châu, Bách Việt vi Dương châu vực, Giao Chỉ thuộc yên.
成周時始稱越裳氏越之名肇於此云	Thành Chu thời thuỷ xưng Việt Thường thị, Việt chi danh triệu ư thử vân.
鴻龐氏紀	Hồng Bàng thị KỶ.
涇陽王	Kinh Dương Vương.
諱祿續神農氏之後也	Huý Lộc Tục, Thần Nông thị chi hậu dã.
壬戌元年	Nhâm Tuất nguyên niên.
初炎帝神農氏三世孫帝明生帝宜既而南廵至五嶺接得鶩僊女生王	Sơ Viêm Đế Thần Nông thị tam thế tôn Đế Minh sinh Đế Nghi, ký nhi Nam tuần, chí Ngũ Lĩnh tiếp đắc Vụ Tiên nữ, sinh vương.
王聖智聰明帝明奇之欲使嗣位	Vương thánh trí thông minh, Đế Minh kì chi, dục sử tự vị.
王固讓其兄不敢奉命	Vương cố nhượng kì huynh, bất cảm phụng mệnh.
帝明於是立帝宜爲嗣治北方封王爲涇陽王治南方號赤鬼國	Đế Minh ư thị lập Đế Nghi vi tự, trị Bắc phương, phong vương vi Kinh Dương Vương, trị Nam phương, hiệu Xích Quỷ quốc.
王娶洞庭君女曰神龍生貉龍君按唐紀涇陽時有牧羊父自謂洞庭君少女嫁涇川次子被黜寄書與柳毅奏洞庭君則涇川洞庭世爲婚姻有自	Vương thú Động Đình quân nữ viết Thần Long, sinh Lạc Long Quân [án Đường kỷ Kinh Dương thời hữu mục dương phụ, tự vị Động Đình quân thiếu nữ, giá Kinh Xuyên thứ tử, bị truất, ký thư dữ Liễu Nghị tấu Động Đình quân. Tắc Kinh Xuyên Động Đình thế vi hôn nhân hữu tự.
來矣	lai hĩ].
貉龍君	Lạc Long Quân.
諱崇䌫涇陽王之子也	Huý Sùng Lãm, Kinh Dương Vương chi tử dã.
君娶帝來女曰嫗姬生百男俗傳生百卵是爲百粤之祖	Quân thú Đế Lai nữ viết Âu Cơ, sinh bách nam, [tục truyền sinh bách noãn] thị vi Bách Việt chi tổ.
一日謂姬曰我是龍種爾是僊種水火相尅合併實難	Nhất nhật, vị Cơ viết: "Ngã thị long chủng, nhĩ thị tiên chủng, thuỷ hoả tương khắc hợp, tính thực nan.
乃與之相别分五十子從母歸山五十子從父居南居南作歸南海封其長爲䧺王嗣君位	Nãi dữ chi tương biệt, phân ngũ thập tử tòng mẫu quy sơn, ngũ thập tử tòng phụ cư nam, [cư Nam tác quy Nam Hải], phong kì trưởng vi Hùng Vương, tự quân vị.
史臣吴士連曰天地開肈之時有以氣化者盤古氏是也	Sử thần Ngô Sĩ Liên viết: "Thiên địa khai triệu chi thời, hữu dĩ khí hoá giả, Bàn Cổ thị thị dã.
有氣化然後有形化莫非陰陽二氣也	Hữu khí hoá nhiên hậu hữu hình hoá, mạc phi âm dương nhị khí dã".
