han	phien_am
絶煙火人跡夜則以獨木船出兵擊覇先營殺獲甚眾所得粮食爲持久計	tuyệt yên hoả nhân tích, dạ tắc dĩ độc mộc thuyền xuất binh kích Bá Tiên doanh, sát hoạch thậm chúng, sở đắc lương thực vi trì cửu kế.
覇先蹀而攻之竟不能得	Bá Tiên điệp nhi công chi, cánh bất năng đắc.
國人號夜澤王	Quốc nhân hiệu Dạ Trạch Vương.
世傳雄王時王女仙容媚娘出遊海口船回至褚家鄕洲步行洲上遇褚童子裸身先匿葦叢中自以爲月老葦緣其合爲夫妻畏罪避居岸上所居便成都會王調兵討之童子仙容恐惧待罪忽夜半風雨暴至舂撞所居棟宇自拨居人及鷄犬一時同升于天留其空址在澤中時人呼其洲曰自然洲其澤曰一夜澤今存舊號云	[Thế truyền Hùng Vương thời, vương nữ Tiên Dung Mị Nương xuất du hải khẩu, thuyền hồi chí Chử Gia hương châu, bộ hành châu thượng, ngộ Chử Đồng Tử loã thân tiên nặc vi tùng trung, tự dĩ vi nguyệt lão vi duyên, kì hợp vi phu thê, uý tội tị cư ngạn thượng, sở cư tiện thành đô hội. Vương điều binh thảo chi. Đồng Tử Tiên Dung khủng cụ đãi tội. Hốt dạ bán phong vũ bạo chí thung chàng sở cư, đống vũ tự bạt, cư nhân cập kê khuyển nhất thời đồng thăng vu thiên, lưu kì không chỉ tại trạch trung. Thời nhân hô kì châu viết Tự Nhiên châu, kì trạch viết Nhất Dạ trạch, kim tồn cựu hiệu vân].
右前南帝起辛酉終丁卯凣七年	Hữu Tiền Nam Đế, khởi Tân Dậu, chung Đinh Mão, phàm thất niên.
趙越王紀	Triệu Việt Vương KỶ.
按舊史不載趙越王𣑯郎王今釆野史及他書始載越王位號附𣑯郎王以補之	[Án cựu sử bất tải Triệu Việt Vương, Đào Lang Vương, kim thái dã sử cập tha thư, thuỷ tải Việt Vương vị hiệu phụ Đào Lang Vương dĩ bổ chi].
趙越王	Triệu Việt Vương.
在位二十三年	Tại vị nhị thập tam niên.
附𣑯郎王王㨿險設奇以摧大敵惜夫過愛其女𦤶有女壻之衬	Phụ: Đào Lang Vương [Vương cứ hiểm, thiết kì dĩ thôi đại địch, tích phu quá ái kì nữ trí hữu nữ tế chi sấn].
王姓趙諱光復趙肅之子朱鳶縣人威壮勇烈從南帝征伐有功拜左將軍	Vương tính Triệu huý Quang Phục, Triệu Túc chi tử, Chu Diên huyện nhân, uy tráng dũng liệt, tòng Nam Đế chinh phạt hữu công, bái tả Tướng quân.
南帝薨乃稱王都龍編遷武寕	Nam Đế hoăng, nãi xưng vương, đô Long Biên, thiên Vũ Ninh.
戊辰元年梁太清二年	Mậu Thìn, nguyên niên, [Lương Thái Thanh nhị niên].
春三月辛亥三帝在屈獠洞中日久肙瘴病薨	Xuân, tam nguyệt, Tân Hợi, Nam Đế tại Khuất Lạo động trung, nhật cửu quyên chướng bệnh hoăng.
黎文休曰兵法云三萬齊力天下莫能當焉	Lê Văn Hưu viết: Binh pháp vân: "Tam vạn tề lực, thiên hạ mạc năng đương yên".
今李賁有眾五萬而不能守國然則賁短於爲將	Kim Lí Bí hữu chúng ngũ vạn nhi bất năng thủ quốc, nhiên tắc Bí đoản ư vi tướng..
耶抑新集之兵不可與戰耶李賁亦中才之將其臨敵制勝不爲不能然卒以两敗身亡者盖不幸而遇陳覇先之善用兵也	da? Ức tân tập chi binh bất khả dữ chiến da? Lí Bí diệc trung tài chi tướng, kì lâm địch chế thắng bất vi bất năng, nhiên tốt dĩ lưỡng bại thân vong giả, cái bất hạnh nhi ngộ Trần Bá Tiên chi thiện dụng binh dã.
史臣鼯士連曰前南帝之𦥷兵除暴宜若順乎天矣然而卒𦤶敗亡者盖天未欲我國平治耶嗚呼非特遇覇先之善用兵又遭江水之暴涨以助其勢庸非天乎	Sử thần Ngô Sĩ Liên viết: Tiền Nam Đế chi hưng binh trừ bạo, nghi nhược thuận hồ thiên hĩ, nhiên nhi tốt trí bại vong giả, cái thiên vị dục ngã quốc bình trị da? Ô hô! Phi đặc ngộ Bá Tiên chi thiện dụng binh, hựu tao giang thuỷ chi bạo trướng dĩ trợ kì thế, dung phi thiên hồ?.
己巳二年梁太清三年	Kỉ Tị, nhị niên [Lương Thái Thanh tam niên].
王居澤中以梁兵不退之故焚香祈禱懇吿于天地神祇於是得龍爪兠鍪之瑞	Vương cư trạch trung dĩ Lương binh bất thoái chi, cố phần hương kì đảo, khẩn cáo vu thiên địa thần kì, ư thị đắc long trảo đâu mâu chi thuỵ,..
用以擊賊	dụng dĩ kích tặc.
自此軍聲大振所向無敵	Tự thử quân thanh đại chấn, sở hướng vô địch.
俗傳澤中神人褚童子時乘黃龍自天而下脱龍爪付王俾戴兜鍪上以擊賊	[Tục truyền trạch trung thần nhân Chử Đồng Tử thời thừa hoàng long tự thiên nhi hạ, thoát long trảo phó vương, tỉ đái đâu mâu thượng dĩ kích tặc].
庚午三年梁簡文帝綱太寳元年	Canh Ngọ, tam niên, [Lương Giản Văn Đế Cương, Thái Bảo nguyên niên].
春正月梁授陳覇先威明將軍交州刺史	Xuân, chính nguyệt, Lương thụ Trần Bá Tiên Uy minh tướng quân Giao Châu thứ sử.
覇先又圖欲持守日久使粮絶兵疲則可破會	Bá Tiên hựu đồ dục trì thủ nhật cửu, sử lương tuyệt binh bì tắc khả phá hội.
梁有侯景之亂召還委裨將楊孱攻王	Lương hữu Hầu Cảnh chi loạn, triệu hoàn, uỷ tì tướng Dương Sàn công vương.
王縱兵擊之	Vương túng binh kích chi.
孱拒戰敗死	Sàn cự chiến, bại tử.
梁軍潰北歸	Lương quân hội Bắc quy.
國乃平	Quốc nãi bình.
王入龍編城居之	Vương nhập Long Biên thành cư chi.
南帝兄天寳居夷獠中稱桃郎王立國曰野能國	Nam Đế huynh Thiên Bảo cư Di Lạo trung, xưng Đào Lang Vương, lập quốc viết Dã Năng quốc.
先是南帝避居屈獠之時天寳與族將李佛子率三萬人入九眞	Tiên thị Nam Đế tị cư Khuất Lạo chi thời, Thiên Bảo dữ tộc tướng Lí Phật Tử suất tam vạn nhân nhập Cửu Chân.
陳覇先追擊	Trần Bá Tiên truy kích..
之天寳兵敗乃收餘眾萬人奔哀牢境夷獠中見桃江原頭野能洞地廣衍沃可居築城居之因地名建國號	chi, Thiên Bảo binh bại, nãi thu dư chúng vạn nhân bôn Ai Lao cảnh Di Lạo trung, kiến Đào Giang nguyên đầu Dã Năng động, địa quảng diễn ốc khả cư, trúc thành cư chi, nhân địa danh kiến quốc hiệu.
至是眾推爲主稱桃郎王	Chí thị chúng suy vi chủ, xưng Đào Lang Vương.
乙亥八年梁敬帝方智紹泰元年	Ất Hợi, bát niên, [Lương Kính Đế Phương Trí, Thiệu Thái nguyên niên].
