han	phien_am
史臣吳士連曰婦人謂嫁曰歸則夫家迺其家也	Sử thần Ngô Sĩ Liên viết: Phụ nhân vị giá viết "quy" tắc phu gia nãi kì gia dã.
王女既嫁雅郎盍歸諸夫家乎何爲循嬴秦贅壻之俗以𦤶敗亡哉右趙越王起戊辰終庚寅凣二十三年	Vương nữ ký giá Nhã Lang, hạp quy chư phu gia hồ? hà vi tuần Doanh Tần chuế tế chi tục, dĩ trí bại vong tai! Hữu Triệu Việt Vương, khởi Mậu Thìn, chung Canh Dần, phàm nhị thập tam niên.
後李紀	Hậu Lí KỶ.
後李南帝	Hậu Lí Nam Đế.
在位三十二年	Tại vị tam thập nhị niên.
帝用詐術以併國望賊風而先降終始所行皆非義也	Đế dụng trá thuật dĩ tịnh quốc, vọng tặc phong nhi tiên hàng, chung thuỷ sở hành giai phi nghĩa dã].
帝姓李諱佛子前南帝族將也逐趙越王襲南帝位號都嗚鳶遷峯州	Đế tính Lí, huý Phật Tử, tiền Nam Đế tộc tướng dã, trục Triệu Việt Vương tập Nam Đế vị hiệu, đô Ô Diên, thiên Phong Châu.
辛卯元年陳大建三年	Tân Mão, nguyên niên [Trần Đại Kiến tam niên].
帝渝盟舉兵攻趙越王	Đế du minh, cử binh công Triệu Việt Vương.
越王初不覺其意倉卒督兵披兜鍪立以待	Việt Vương sơ bất giác kì ý, thương tốt đốc binh, phi đâu mâu lập dĩ đãi.
帝兵益進趙越王自知勢屈不能禦乃携其女子南奔欲擇險地匿跡所至帝兵皆踵後	Đế binh ích tiến, Triệu Việt Vương tự tri thế khuất bất năng ngự, nãi huề kì nữ tử Nam bôn, dục trạch hiểm địa nặc tích, sở chí Đế binh giai chủng hậu.
越王引馬奔至大鴉海口阻水歎曰吾窮矣遂投于海	Việt Vương dẫn mã bôn chí Đại Nha hải khẩu, trở thuỷ thán viết: "Ngô cùng hĩ!", toại đầu vu hải.
帝躡至沙然不知所之乃還	Đế niếp chí sa nhiên, bất tri sở chi, nãi hoàn.
趙氏亡	Triệu thị vong.
後人以其靈異立祠于大鴉海口奉事之	Hậu nhân dĩ kì linh dị, lập từ vu Đại Nha hải khẩu phụng sự chi.
大鴉今大安縣是也	[Đại Nha kim Đại An huyện thị dã].
史臣吳士連曰以覇術觀之	Sử thần Ngô Sĩ Liên viết: Dĩ bá thuật quan chi.
後南帝之攻趙越王爲計得矣以王道覌之曾犬彘之不若也	Hậu Nam Đế chi công Triệu Việt Vương vi kế đắc hĩ; dĩ vương đạo quan chi, tằng khuyển trệ chi bất nhược dã.
何	Hà..
則前南帝在屈獠時以軍事委越王	tắc? Tiền Nam Đế tại Khuất Lạo thời, dĩ quân sự uỷ Việt Vương.
王收殘卒㨿夜澤沮洳之險當覇先一世之䧺竟獲其將楊孱北人爲之退師	Vương thu tàn tốt cứ Dạ Trạch tự như chi hiểm, đương Bá Tiên nhất thế chi hùng, cánh hoạch kì tướng Dương Sàn, Bắc nhân vi chi thoái sư.
時帝竄居夷中圖脱虎口而已	Thời đế thoán cư Di trung, đồ thoát hổ khẩu nhi dĩ.
幸而覇先北歸天寳繼沒乃舉兵攻越王譎計請和約爲婚姻	Hạnh nhi Bá Tiên Bắc quy, Thiên Bảo kế một, nãi cử binh công Việt Vương, quyệt kế thỉnh hoà ước vi hôn nhân.
王以誠待之割地居之所行皆出於正交好有道朝聘以時𡸈非久安長治之道邪顧乃用雅郎之邪謀拂人倫之正道𢚩功利滅仁義攻取其國雖曰得之而雅郎先子身不免爲俘虜𡸈爲利乎	Vương dĩ thành đãi chi, cát địa cư chi, sở hành giai xuất ư chính, giao hảo hữu đạo, triều sính dĩ thời, khởi phi cửu an trường trị chi đạo? Tà cố nãi dụng Nhã Lang chi tà, mưu phất nhân luân chi chính đạo, cấp công lợi diệt nhân nghĩa, công thủ kì quốc, tuy viết đắc chi nhi Nhã Lang tiên tử, thân bất miễn vi phu lỗ, khởi vi lợi hồ?..
壬戌三十二年隋文帝楊堅仁壽元年	Nhâm Tuất, tam thập nhị niên, [Tuỳ Văn Đế Dương Kiên, Nhân Thọ nguyên niên].
帝遣其兄子代權㨿龍編城別帥李普鼎㨿嗚鳶城時帝都峯州	Đế khiển kì huynh tử Đại Quyền cứ Long Biên thành, Biệt soái Lí Phổ Đỉnh cứ Ô Diên thành [Thời đế đô Phong Châu].
隋楊素薦瓜州刺史長安劉方有將帥之畧	Tuỳ Dương Tố tiến Qua Châu Thứ sử Trường An Lưu Phương, hữu tướng soái chi lược.
隋帝詔以爲交州道行軍縂管統二十七營來侵	Tuỳ Đế chiếu dĩ vi Giao Châu Đạo hành quân tổng quản, thống nhị thập thất doanh lai xâm.
方軍令嚴肅有犯必斬	Phương quân lệnh nghiêm túc, hữu phạm tất trảm.
然性仁愛士卒有疾病者親臨撫養士卒亦以此懷其德而畏其威	Nhiên tính nhân ái, sĩ tốt hữu tật bệnh giả, thân lâm phủ dưỡng sĩ tốt, diệc dĩ thử hoài kì đức nhi uý kì uy.
至都隆嶺遇草賊擊破之進軍臨帝營先諭以禍福	Chí Đô Long lĩnh ngộ thảo tặc, kích phá chi, tiến quân lâm đế doanh, tiên dụ dĩ hoạ phúc.
帝惧請降北歸薨	Đế cụ thỉnh hàng, Bắc quy hoăng.
民爲立祠于小鴉海口以對趙越王祠	Dân vi lập từ vu Tiểu Nha hải khẩu dĩ đối Triệu Việt Vương từ.
史臣吳士連曰南北強弱各以其時	Sử thần Ngô Sĩ Liên viết: Nam - Bắc Cường nhược các dĩ kì thời.
當北方之	Đương Bắc phương chi..
弱則我強北方強則我亦爲之渃	nhược tắc ngã cường, Bắc phương cường tắc ngã diệc vi chi nhược.
天下大勢然也	Thiên hạ đại thế nhiên dã.
若夫有國家者脩爾甲兵整爾車徒預備無設險守國事大以禮字小以人	Nhược phù hữu quốc gia giả, tu nhĩ giáp binh, chỉnh nhĩ xa đồ, dự bị vô ngu, thiết hiểm thủ quốc, sự đại dĩ lễ, tự tiểu dĩ nhân.
及其暇日申之以孝悌忠信使國人知親上死長之義	Cập kì hạ nhật, thân chi dĩ hiếu, đễ, trung, tín sử quốc nhân tri thân thượng tử trượng chi nghĩa.
或見侵陵修之以文吿之以辭將之以玉帛之禮	Hoặc kiến xâm lăng, tu chi dĩ văn cáo chi, dĩ từ tương chi, dĩ ngọc bạch chi lễ.
猶不免焉雖至於困背城一戰誓以死守與社稷俱存亡然後爲無愧	Do bất miễn yên, tuy chí ư khốn, bối thành nhất chiến, thệ dĩ tử thủ dữ xã tắc cụ tồn vong, nhiên hậu vi vô quý.
安有賊人臨境兵内未接乃惧而請降之理哉帝既柔懦而當時將相曾無一言及之可謂國無人矣	An hữu tặc nhân lâm cảnh, binh nội vị tiếp, nãi cụ nhi thỉnh hàng chi lí tai! Đế ký nhu noạ nhi đương thời tướng tướng tăng vô nhất ngôn cập chi, khả vị quốc vô nhân hĩ!..
右後南帝起辛卯終壬戌凣三十二年通計前南帝趙越王合六十二年	Hữu Hậu Nam Đế, khởi Tân mão, chung Nhâm Tuất, phàm tam thập nhị niên, thông kế Tiền Nam Đế, Triệu Việt Vương hợp lục thập nhị niên.
大越史記外紀全書卷之四終	Đại Việt Sử Ký Ngoại Kỷ Toàn Thư quyển chi tứ chung.
