han	phien_am
大越史記外紀全書卷之五	Đại Việt Sử Ký Ngoại Kỷ Toàn Thư quyển chi ngũ.
属隋唐紀	Thuộc Tuỳ Đường KỶ.
癸亥隋仁壽二年	Quý Hợi, [Tuỳ Nhân Thọ nhị niên].
劉方妆獲後南帝舊將目為桀點皆斬之	Lưu Phương trang hoạch Hậu Nam Đế cựu tướng, mục vi kiệt điểm, giai trảm chi.
乙丑隋煬帝廣大業元年	Ất Sửu, [Tuỳ Dạng Đế Quảng, Đại Nghiệp nguyên niên].
春正月劉方新平我土隋群臣有言林邑多奇寶者	Xuân, chính nguyệt, Lưu Phương tân bình ngã thổ, Tuỳ quần thần hữu ngôn Lâm Ấp đa kì bảo giả.
隋帝乃授方驩州道行軍總𬋩經畧林邑	Tuỳ đế nãi thụ Phương Hoan Châu đạo hành quân tổng quản, kinh lược Lâm Ấp.
方遣欽州刺史寗長真等以步騎萬餘出越裳	Phương khiển Khâm Châu Thứ sử Nịnh Trường Chân đẳng, dĩ bộ kị vạn dư xuất Việt Thường.
方親率大將軍張愻蘇困切等以舟師出比境漢縣属日南郡隋置比境郡	Phương thân suất đại tướng quân Trương Tốn [Tô Khốn Thiết] đẳng dĩ chu sư xuất Tỉ Cảnh [Hán huyện thuộc Nhật Nam quận, Tuỳ trí Tỉ Cảnh quận].
是月軍至海口	Thị nguyệt, quân chí hải khẩu.
三月林邑王梵	Tam nguyệt, Lâm Ấp Vương Phạn..
志遣兵守險劉方擊走之	Chí khiển binh thủ hiểm, Lưu Phương kích tẩu chi.
師度闍黎江	Sư độ Chà Lê giang.
林唈兵乘巨象四靣而至方戰不利乃多掘小坑草襨其上以兵挑之既戰佯比	Lâm Ấp binh thừa cự tượng tứ diện nhi chí, Phương chiến bất lợi nãi đa quật tiểu khanh, thảo phức kì thượng, dĩ binh khiêu chi, ký chiến dương tỉ.
林邑人逐之象多陷坑顛躓轉將驚駭軍遂乱	Lâm Ấp nhân trục chi, tượng đa hãm khanh điên chí chuyển tướng kinh hãi, quân toại loạn.
方以弩射象却走躁其陣	Phương dĩ nỗ xạ tượng, khước tẩu tháo kì trận.
因以銳師繼之	Nhân dĩ nhuệ sư kế chi.
林邑大敗俘馘萬計	Lâm Ấp đại bại, phu quắc vạn kế.
方進追之屢戰皆捷過馬援銅柱南八日至其國都	Phương tiến truy chi, lũ chiến giai tiệp, quá Mã Viện đồng trụ Nam, bát nhật chí kì quốc đô.
夏四月梵志棄城走入海	Hạ, tứ nguyệt, Phạn Chí khí thành tẩu nhập hải.
方入城獲廟主十八皆鑄金為之有國十八葉也	Phương nhập thành hoạch miếu chủ thập bát giai chú kim vi chi [hữu quốc thập bát diệp. dã].
刻石紀功而還	khắc thạch kỷ công nhi hoàn.
士卒腫足死者十四五	Sĩ tốt thũng túc, tử giả thập tứ ngũ.
方亦得疾死于道	Phương diệc đắc tật tử vu đạo.
史臣吳士連曰林邑自取敗亡有由來矣	Sử thần Ngô Sĩ Liên viết: Lâm Ấp tự thủ bại vong, hữu do lai hĩ.
自范胡達之𨺻日南九真寇交州為晋杜瑗擊破曾不是懲	Tự Phạm Hồ Đạt chi thao Nhật Nam, Cửu Chân, khấu Giao Châu vi Tấn Đỗ Viện kích phá, tằng bất thị trừng.
