han	phien_am
丁卯唐天祐四年梁太祖朱全忠更名晃開平元年	Đinh Mão, [Đường Thiên Hựu tứ niên; Lương Thái Tổ Chu Toàn Trung, cánh danh Hoảng, Khai Bình nguyên niên].
梁以廣州節度使劉隐兼靜海軍節度使封南平王	Lương dĩ Quảng Châu Tiết độ sứ Lưu Ẩn kiêm Tĩnh Hải quân Tiết độ sứ, phong Nam Bình Vương.
時隐據番禺交州人曲顥據州治稱節度使志在相圖	Thời, Ẩn cứ Phiên Ngung, Giao Châu nhân Khúc Hạo cứ châu trị, xưng Tiết Độ sứ, chí tại tương đồ.
是歲唐亡	Thị tuế Đường vong.
辛未梁乾化元年	Tân Mùi, [Lương Càn Hoá, nguyên niên].
梁南平王劉隐卒弟巖立	Lương Nam Bình Vương Lưu Ẩn tốt, đệ Nham lập.
丁丑梁末帝友貞更名瑱貞明三年	Đinh sửu, [Lương Mạt đế Hữu Trinh, cánh danh Chẩn, Trinh Minh tam niên].
梁廣州知留後劉巖建國號曰漢即南漢紀元乾亨元年	Lương Quảng Châu tri lưu hậu Lưu Nham kiến quốc hiệu viết Hán [tức Nam Hán], kỷ Nguyên Càn Hanh nguyên niên.
曲顥遣子承美為歡好使如廣州因覘虚實	Khúc Hạo khiển tử Thừa Mĩ vi Hoan hảo sứ như Quảng Châu nhân siêm hư thực.
顥卒承美襲位	Hạo tốt, Thừa Mĩ tập vị.
己卯梁貞明五年	Kỉ Mão, [Lương Trinh Minh ngũ niên].
曲承美遣使求節鉞於梁	Khúc Thừa Mĩ khiển sứ cầu tiết việt ư Lương.
梁授之	Lương thụ chi.
漢主大怒	Hán chủ đại nộ.
漢主初名岩更名涉又名龔因白龍見故名焉	[Hán chủ sơ danh Nham, cánh danh Thiệp, hựu danh Cung, nhân bạch long hiện, cố danh yên.
至晋天福大年以龔為不利乃自改	Chí Tấn Thiên Phúc lục niên, dĩ Cung vi bất lợi, nãi tự cải..
𪚔字而名之	Nghiễm tự nhi. danh chi].
癸未梁龍德三年唐荘宗李存朂同光元年	Quý Mùi, [Lương Long Đức tam niên; Đường Trang Tông Lí Tồn Húc, Đồng Quang nguyên niên].
是𡻕梁亡	Thị tuế Lương vong.
秋七月漢主遣驍将李克正領兵攻交州擒節度使承美以㱕以其将李進代之	Thu, thất nguyệt, Hán chủ khiến kiêu tướng Lí Khắc Chính lĩnh binh công Giao Châu, cầm Tiết độ sứ Thừa Mĩ dĩ quy, dĩ kì tướng Lí Tiến đại chi.
克正留守州為曲徃将愛州人楊廷藝所逐	Khắc Chính lưu thủ châu, vi Khúc Hạo tướng Ái Châu nhân Dương Đình Nghệ sở trục.
漢主授廷藝爵位以李進為交州刺史與李克正守其城謂左右曰交跐民好亂但可覊縻而已	Hán chủ thụ Đình Nghệ tước vị, dĩ Lí Tiến vi Giao Châu thứ sử, dữ Lí Khắc Chính thủ kì thành, vị tả hữu viết: "Giao Chỉ dân hiếu loạn, đãn khả ki mi nhi dĩ".
史臣吳士連曰劉𪚔當北朝擾亂之時席兄舊業建國紀元與曲顥爭覊卒擒承美取交州䧺	Sử thần Ngô Sĩ Liên viết: Lưu Nghiễm đương Bắc triều nhiễu loạn chi thời, tịch huynh cựu nghiệp kiến quốc kỷ nguyên, dữ Khúc Hạo tranh bá, tốt cầm Thừa Mĩ, thủ Giao Châu, hùng..
李進知之馳以告漢主	Lí Tiến tri chi, trì dĩ cáo Hán chủ.
是歲廷藝𭛁兵圍進	Thị tuế, Đình Nghệ phát binh vi Tiến.
漢主遣承旨陳寶将兵救之未至而城𨺻	Hán chủ khiển Thừa chỉ Trần Bảo tương binh cứu chi, vị chí nhi thành thao.
進逃㱕	Tiến đào quy.
寶至圍城廷藝出戰寶敗死	Bảo chí vi thành, Đình Nghệ xuất chiến, Bảo bại tử.
於是廷藝自稱節度使領州事	Ư thị, Đình Nghệ tự xưng Tiết độ sứ, lĩnh châu sự.
丙申唐廢帝從珂清泰三年晋髙祖石敬塘天福元年	Bính Thân, [Đường Phế Đế Tông Kha, Thanh Thái tam niên, Tấn Cao Tổ Thạch Kính Đường, Thiên Phúc nguyên niên].
是歲唐亡	Thị tuế Đường vong.
據一方與北朝諸僣國相頡頑	cứ nhất phương, dữ Bắc triều chư tiếm quốc tương hiệt ngoan.
故前吳王之興雖殲其子殁其軍而不䏻守其地劉氏之綂綿綿不絶至宋祖興而其地始入於宋焉	Cố Tiền Ngô Vương chi hưng, tuy tiêm kì tử, một kì quân, nhi bất năng thủ kì địa, Lưu thị chi thống miên miên bất tuyệt, chí Tống tổ hưng nhi kì địa thuỷ nhập ư Tống yên.
辛卯唐明宗嗣原長興二年	Tân Mão, [Đường Minh Tông Tự Nguyên Trường Hưng nhị niên].
冬十二月楊廷藝養假子三千人圖恢復	Đông, thập nhị nguyệt, Dương Đình Nghệ dưỡng giả tử tam thiên nhân, đồ khôi phục.
丁酉晋天福二年	Đinh Dậu, [Tấn Thiên Phúc nhị niên].
春三月廷藝牙将矯公羡綱目作交殺廷藝而代之	Xuân, tam nguyệt, Đình Nghệ nha tướng Kiều Công Tiễn [Cương mục tác giao] sát Đình Nghệ nhi đại chi.
戊戌晋天福三年	Mậu Tuất, [Tấn Thiên Phúc tam niên].
冬十二月廷藝牙将吳權自愛州舉兵攻公羡	Đông, thập nhị nguyệt, Đình Nghệ nha tướng Ngô Quyền tự Ái Châu cử binh công Công Tiễn.
公羡遣使以賂求救於漢	Công Tiễn khiển sứ dĩ lộ cầu cứu ư Hán.
主龔欲因其亂而取之乃以其子萬王弘操為靜海軍節度使徒封交王将兵救公羡	Hán chủ Cung dục nhân kì loạn nhi thủ chi, nãi dĩ kì tử Vạn Vương Hoằng Thao vi Tĩnh Hải quân tiết độ sứ, đồ phong Giao Vương, tương binh cứu Công Tiễn.
漢主自将屯海門為之聲援	Hán chủ tự tướng, đồn Hải Môn vi chi thanh viện.
問策於崇文使蕭益益曰今霖雨積旬海道險遠吳權桀黠未可輕也	Vấn sách ư Sùng Văn sứ Tiêu Ích, Ích viết: "Kim lâm vũ tích tuần, hải đạo hiểm viễn, Ngô Quyền kiệt hiệt, vị khả khinh dã.
大軍當持重多用鄕導然後可進	Đại quân đương trì trọng, đa dụng hướng đạo nhiên hậu khả tiến".
不聽命弘操将舟師自白滕江入欲攻	Bất thính, mệnh Hoằng Thao tương chu sư tự Bạch Đằng Giang nhập, dục công..
權而權已誅公羡矣	Quyền, nhi Quyền dĩ tru Công Tiễn hĩ.
權聞弘操且至謂将佐曰弘操一癡兒耳将兵遠來士卒疲弊又聞公羡死無内應氣已先奪	Quyền văn Hoằng Thao thả chí, vị tướng tá viết: "Hoằng Thao nhất si nhi nhĩ, tương binh viễn lai, sĩ tốt bì tệ, hựu văn Công Tiễn tử vô nội ứng, khí dĩ tiên đoạt.
吾眾以力待疲破之必矣	Ngô chúng dĩ lực đãi bì, phá chi tất hĩ.
然彼利於艦不先為之備則勝負之形未可知也	Nhiên bỉ lợi ư hạm, bất tiên vi chi bị, tắc thắng phụ chi hình vị khả tri dã.
若使人先於海門潜植大杙鉄其首之以紩彼船隨潮漲入杙内然後我易制無有出此者	Nhược sử nhân tiên ư hải môn, tiềm thực đại dặc thiết, kì thủ cốt chi dĩ thiết, bỉ thuyền tuỳ triều trướng nhập dặc nội, nhiên hậu ngã dị chế, vô hữu xuất thử giả".
