han	phien_am
杙以襨蒼黃崩潰士卒溺死太半	dặc dĩ phúc, thương hoàng băng hội, sĩ tốt nịch tử thái bán.
權乘勝追擊擒弘操殺之	Quyền thừa thắng truy kích, cầm Hoằng Thao sát chi.
漢主慟哭𠬧餘眾而退	Hán chủ đỗng khốc, thu dư chúng nhi thoái.
漢主以名龔為嫌者盖蝟此也劉龔即劉𪚔也	Hán chủ dĩ danh Cung vi hiềm giả, cái vị thử dã [Lưu Cung tức Lưu Nghiễm dã].
史臣吳士連曰劉龔貪人土地欲拓封疆土地未得而以毒其子及其人民即孟子所謂以其所不愛及其所愛者歟右南北分爭自丁卯至戊戌凣三十二年	Sử thần Ngô Sĩ Liên viết: Lưu Cung tham nhân thổ địa, dục thác phong cương, thổ địa vị đắc nhi dĩ độc kì tử cập kì nhân dân, tức Mạnh Tử sở vị: "Dĩ kì sở bất ái cập kì sở ái" giả dư? Hữu Nam Bắc phân tranh, tự Đinh Mão chí Mậu Tuất, phàm tam thập nhị niên.
吳紀	Ngô KỶ.
前吳王	Tiền Ngô Vương.
在位六年壽四十七歲	Tại vị lục niên, thọ tứ thập thất tuế.
王善謀善戰再造之功以成為諸王之冠	[Vương thiện mưu thiện chiến, tái tạo chi công, dĩ thành vi chư vương chi quán].
姓吳諱權唐林人世為貴族父旻為本州牧	Tính Ngô, huý Quyền, Đường Lâm nhân, thế vi quý tộc, phụ Mân vi bản châu mục.
王生有異光满室狀𩔗特殊背上有三黑子相者奇之蝟可為一方之主乃命名曰權	Vương sinh hữu dị quang mãn thất, trạng loại đặc thù, bối thượng hữu tam hắc tử, tướng giả kì chi, vị khả vi nhất phương chi chủ, nãi mệnh danh viết Quyền.
及長魁梧奇偉也目光若電綬步如虎有智勇力䏻抗鼎為楊廷藝牙将廷藝以女妻之圈𬋩愛州	Cập trưởng, khôi ngô [kì vĩ dã], mục quang nhược điện, thụ bộ như hổ, hữu trí dũng, lực năng kháng đỉnh, vi Dương Đình Nghệ nha tướng, Đình Nghệ dĩ nữ thê chi, quyền quản Ái Châu.
至是誅矯公羡自立為王都螺城	Chí thị tru Kiều Công Tiễn, tự lập vi vương, đô Loa Thành.
己亥元年晋天福四年	Kỉ Hợi, nguyên niên, [Tấn Thiên Phúc tứ niên].
春王始稱王立楊氏為后置百	Xuân, Vương thuỷ xưng Vương, lập Dương Thị vi Hậu, trí bách..
官制朝儀定服色	quan, chế triều nghi, định phục sắc.
甲辰六年晋齊王重貴開運元年	Giáp Thìn, lục niên, [Tấn Tề Vương Trọng Quý, Khai Vận nguyên niên].
王薨	Vương hoăng.
黎文休曰前吳王䏻以我越所集之兵破劉弘操百萬之眾拓土稱王使北人不敢復來者	Lê Văn Hưu viết: Tiền Ngô Vương năng dĩ ngã Việt sở tập chi binh, phá Lưu Hoằng Thao bách vạn chi chúng, thác thổ xưng Vương, sử Bắc nhân bất cảm phục lai giả.
可謂以一怒而安其民善謀而善戰者也	Khả vị dĩ nhất nộ nhi an kì dân, thiện mưu nhi thiện chiến giả dã.
雖王自居未即帝位改元而我越之正綂幾乎復續矣	Tuy dĩ Vương tự cư, vị tức đế vị cải nguyên, nhi ngã Việt chi chính thống, thứ cơ hồ phục tục hĩ.
史臣吳士連曰前吳之興非徒有戰勝之功其置百官制朝儀定服色帝王之䂓模可見	Sử thần Ngô Sĩ Liên viết: Tiền Ngô chi hưng, phi đồ hữu chiến thắng chi công, kì trí bách quan, chế triều nghi, định phục sắc, đế vương chi quy mô khả kiến hĩ.
國不永未見治效惜哉楊三哥	quốc bất vĩnh, vị kiến trị hiệu, tích tai! Dương Tam Kha.
篡位六年	Thoán vị lục niên.
三哥楊后之兄一作弟前吳王家臣僣稱平王	Tam Kha Dương Hậu chi huynh, [nhất tác đệ] tiền Ngô Vương gia thần, tiếm xưng Bình Vương.
乙巳楊三哥元年晋開運二年	Ất Tị, [Dương Tam Kha nguyên niên; Tấn Khai Vận nhị niên].
初前吳王病革遣命三哥輔其子	Sơ, Tiền Ngô Vương bệnh cách, khiển mệnh Tam Kha phụ kì tử.
王薨三哥篡位	Vương hoăng, Tam Kha thoán vị.
吳王長子昌岌惧奔南江住茶鄕范令公家	Ngô Vương trưởng tử Xương Ngập cụ, bôn Nam Sách Giang, trú Trà Hương Phạm Lệnh Công gia.
三哥以吳王弟二子昌文為己子	Tam Kha dĩ Ngô Vương đệ nhị tử Xương Văn vi kỷ tử.
次子南興乾興尚幼皆附於楊國母	Thứ tử Nam Hưng, Càn Hưng thượng ấu, giai phò ư Dương Quốc mẫu.
久之三哥遣指揮使楊古利杜景碩将兵至令公家索取昌岌	Cửu chi, Tam Kha khiển chỉ huy sứ Dương Cát Lợi, Đỗ Cảnh Thạc tương binh chí Lệnh Công gia sách thủ Xương Ngập,..
凣三反命	phàm tam phản mệnh.
令公惧遂匿昌岌山洞間	Lệnh Công cụ, toại nặc Xương Ngập sơn động gian.
三哥知之復索如初竟不䏻得	Tam Kha tri chi, phục sách như sơ, cánh bất năng đắc.
史臣吳士連曰范令公之用心忠矣哉三哥以家臣逐君之鏑而篡其位以昌文為己子假飾之辝爾得而知幾且當時國人皆已君三可而令公敢匿昌岌欲不絶吳氏之祀也	Sử thần Ngô sĩ Liên viết: Phạm Lệnh Công chi dụng tâm trung hĩ tai! Tam Kha dĩ gia thần trục quân chi đích nhi thoán kì vị, dĩ Xương văn vi kỷ tử giả, sức chi từ nhĩ, thục đắc nhi tri cơ? Thả, đương thời quốc nhân giai dĩ quân Tam Kha, nhi Lệnh công cảm nặc Xương Ngập, dục bất tuyệt Ngô thị chi tự dã.
程嬰杵臼之事再見於此	Trình Anh, Chữ Cữu chi sự tái kiến ư thử. 󰰽
謂一國之大而無忠臣義士哉	Thục vị nhất quốc chi đại nhi vô trung thần nghĩa sĩ tai.
丁未楊三哥三年後漢髙祖劉遠仍稱晋天福十二年	Đinh Mùi, [Dương Tam Kha tam niên; Hậu Hán, Cao Tổ Lưu Viễn nhưng xưng Tấn, Thiên Phúc thập nhị niên].
知是歲晋亡	Tri Thị tuế Tấn vong.
庚戌楊三哥六年漢隱帝承祐仍稱乾祐三年	Canh Tuất, [Dương Tam Kha lục niên; Hán Ẩn Đế Thừa Hựu, nhưng xưng Càn Hựu tam niên].
三哥遣昌文及楊杜二使将兵攻太平唐阮二村	Tam Kha khiển Xương Văn cập Dương Đỗ nhị sứ, tương binh công Thái Bình Đường, Nguyễn nhị thôn.
行至慈廉昌文從容位二使曰我先王之德洽於民心凣所施令罔不悅從不幸違棄羣臣平王自行不義奪我兄弟之位罪莫大焉	Hành chí Từ Liêm, Xương Văn thung dung vị nhị sứ viết: "Ngã tiên vương chi đức, hiệp ư dân tâm, phàm sở thi lệnh, võng bất duyệt tòng, bất hạnh vi khí quần thần, Bình Vương tự hành bất nghĩa, đoạt ngã huynh đệ chi vị, tội mạc đại yên.
今又使我等征無辜之邑幸而勝之利已彼如不服為之奈何二使曰惟君之命	Kim hựu sử ngã đẳng chinh vô cô chi ấp, hạnh nhi thắng chi lợi dĩ, bỉ như bất phục vi chi nại hà?" Nhị sứ viết: "Duy quân chi mệnh".
昌文曰我欲還師揜襲平王以復我先王之業可乎二使曰善	Xương Văn viết: "Ngã dục hoàn sư yểm tập Bình Vương, dĩ phục ngã tiên vương chi nghiệp, khả hồ?" Nhị sứ viết thiện.
乃還襲三哥	Nãi hoàn tập Tam Kha.
眾欲殺之昌文曰平王於我有恩𡸈忍加刑乃降為張楊公因賜為食邑	Chúng dục sát chi, Xương Văn viết: "Bình Vương ư ngã hữu ân, há nhẫn gia hình?" Nãi giáng vi Chương Dương Công, nhân tứ vi thực ấp.
今章陽度是也	[Kim Chương Dương Độ thị dã].
是歲漢亡	Thị tuế Hán vong.
黎文休曰逐軍之子而自位公罪也養君之子為已子而食邑私恩也	Lê Văn Hưu viết: Trục quân chi tử nhi tự vị, công tội dã; dưỡng quân chi tử vi dĩ tử nhi thực ấp, tư ân dã.
逐昌岌而自位篡逆之臣於義固不容誅矣	Trục Xương Ngập nhi tự vị, thoán nghịch chi thần, ư nghĩa cố bất dung tru hĩ.
後吳王不正其罪乃以口私恩不忍加刑又賜之食邑𡸈不大謬乎後吳王	Hậu Ngô Vương bất chính kì tội, nãi dĩ khẩu thể tư ân bất nhẫn gia hình, hựu tứ chi thực ấp, khởi bất đại mậu hồ? Hậu Ngô Vương.
在位十五年	Tại vị thập ngũ niên.
附天策王	Phụ Thiên Sách Vương.
王克正皇綱光復舊物惜其動干戈於域之内反為所斃也	[Vương khắc chính hoàng cương, quang phục cựu vật, tích kì động can qua ư bang vực chi nội phản vi sở tệ dã].
王諱昌文前吳王次子也	Vương huý Xương Văn, Tiền Ngô Vương thứ tử dã.
辛亥元年周太祖郭威廣順元年	Tân Hợi, nguyên niên [Chu Thái Tổ Quách Uy, Quảng Thuận Nguyên niên].
王既黜三哥即王位稱南	Vương ký truất Tam Kha, tức Vương vị, xưng Nam..
晉遣使往迎其兄昌岌㱕京師同理國事	Tấn, khiển sứ vãng nghênh kì huynh Xương Ngập qui Kinh sư, đồng lí quốc sự.
昌岌稱天策王	Xương Ngập xưng Thiên Sách Vương.
史臣吳士連曰南晉迎昌岌歸與之共政可謂克恭厥兄欲同其富貴矣	Sử thần Ngô Sĩ Liên viết: Nam Tấn nghênh Xương Ngập quy dữ chi cộng chính, khả vị khắc cung quyết huynh, dục đồng kì phú quý hĩ.
昌岌䏻以無功讓之俱俱其禄德𡸈不光大哉乃拘於嫡長之分稱王視政又擅作威福至使南晉王不得預政甚失友于之義志趣甚卑陋矣	Xương Ngập năng dĩ vô công nhượng chi, câu hưởng kì lộc, đức khởi bất quang đại tai? Nãi câu ư đích trưởng chi phận, xưng Vương thị chính, hựu thiện tác uy phúc, chí sử Nam Tấn vương bất đắc dự chính, thậm thất hữu vu chi nghĩa, chí thú thậm ti lậu hĩ.
時華閭洞人丁部領以山谿險固不修臣職	Thời, Hoa Lư động nhân Đinh Bộ Lĩnh, dĩ sơn khê hiểm cố, bất tu thần chức.
二王欲興師討之部領惧遣其子璉入質以止其兵	Nhị Vương dục hưng sư thảo chi; Bộ Lĩnh cụ, khiển kì tử Liễn nhập chất dĩ chỉ kì binh.
璉至二王責其不庭竟執璉往征之	Liễn chí, nhị vương trách kì bất đình, cánh chấp Liễn vãng chinh chi.
踰月不克乃懸璉竿上使人謂部領曰不降則殺璉	Du nguyệt bất khắc, nãi huyền Liễn can thượng, sử nhân vị Bộ Lĩnh viết: Bất hàng tắc sát Liễn.
部領怒曰大丈夫以功名自許𡸈效兒女之愛子耶令士餘弩注璉俱𤼵	Bộ Lĩnh nộ viết: "Đại trượng phu dĩ công danh tự hứa, há hiệu nhi nữ chi ái tử da?" Cự lệnh sĩ dư nỗ chú Liễn cụ phát.
二王驚曰我之懸其子欲使顧惜而速降彼殘忍如此焉用懸為	Nhị vương kinh viết: "Ngã chi huyền kì tử, dục sử cố tích nhi tốc hàng, bỉ tàn nhẫn như thử, yên dụng huyền vi?".
即不殺璉而班師焉	Tức bất sát Liễn nhi ban sư yên.
時天策擅作威柄王不復預政	Thời, Thiên Sách thiện tác uy bính, Vương bất phục dự chính.
二王由是有隙	Nhị Vương do thị hữu khích.
甲寅四年周世宗柴榮顯德元年	Giáp Dần, tứ niên, [Chu Thế Tông Sài Vinh, Hiển Đức nguyên niên].
天策王薨	Thiên Sách Vương hoăng.
王復位遣使請命於南漢主劉鋹	Vương phục vị, khiển sứ thỉnh mệnh ư Nam hán chủ Lưu Xưởng.
鋹以王為靜海軍節度使兼都	Xưởng dĩ Vương vi Tĩnh Hải quân Tiết độ sứ kiêm Đô..
護	hộ.
庚申十年周恭帝宗訓元年宋太祖趙匡胤建龍元年	Canh Thân, thập niên, [Chu Cung Đế Tông Huấn nguyên niên, Tống Thái Tổ Triệu Khuông Dận, Kiến Long nguyên niên].
是歲周亡	Thị tuế Chu vong.
乙丑十五年宋乾德三年	Ất Sửu, thập ngũ niên, [Tống Càn Đức tam niên].
王帥師攻太平唐阮二村	Vương soái sư công Thái Bình Đường, Nguyễn nhị thôn.
纔入境止船上戰為伏弩所中薨	Tài nhập cảnh, chỉ thuyền thượng chiến, vi phục nỗ sở trúng hoăng.
丁璉歸華閭	Đinh Liễn quy Hoa Lư.
黎文休曰吳南晋前為家臣三哥之拘囚後為其兄昌岌之掩抑一旦得志不䏻自慎而享國日淺政績無聞惜哉然觀其免平王之罪過𡸈非仁乎容昌岌之驕倨𡸈非恭乎既仁且恭亦可見其為人矣	Lê Văn Hưu viết: Ngô Nam Tấn, tiền vi gia thần Tam Kha chi câu tù, hậu vi kì huynh Xương Ngập chi yểm ức, nhất đán đắc chí bất năng tự thận, nhi hưởng quốc nhật tiên, chính tích vô văn, tích tai! Nhiên quan kì miễn Bình Vương chi tội quá, há phi nhân hồ? Dung Xương Ngập chi kiêu cự, há phi cung hồ? Ký nhân thả cung, diệc khả kiến kì vi nhân hĩ.
