han	phien_am
女父道之稱觀之今朝改爲輔導是也理或然也	nữ phụ đạo chi xưng, quan chi [Kim triều cải vi phụ đạo thị dã] lí hoặc nhiên dã.
若山精水精之事亦甚恠誕信書不如無書姑述其舊以傳疑焉	Nhược Sơn Tinh, Thuỷ Tinh chi sự, diệc thậm quái đản, tín thư bất như vô thư, cô thuật kì cựu dĩ truyền nghi yên.
右鴻庞氏自涇陽王壬戌受封與帝宜同時傳至雄王季世當周赧王五十七年季卯終該二千六百二十二年	Hữu Hồng Bàng thị, tự Kinh Dương Vương Nhâm Tuất thụ phong, dữ đế Nghi đồng thời, truyền chí Hùng Vương quý thế, đương Chu Noãn Vương ngũ thập thất niên Quý Mão chung, cai nhị thiên lục bách nhị thập nhị niên.
蜀紀安陽王	Thục Kỷ An Dương Vương.
在位五十年	tại vị ngũ thập niên.
姓蜀諱泮巴蜀人也都封溪今古螺城是也	Tính Thục, huý Phán, Ba Thục nhân dã, đô Phong Khê [Kim Cổ Loa thành thị dã].
甲辰元年	Giáp Thìn, nguyên niên.
周赧王五十八年	[Chu Noãn Vương ngũ thập bát niên].
王既併文郎國改國號曰甌貉國	Vương ký tinh Văn Lang quốc, cải quốc hiệu viết Âu Lạc quốc.
初王屢興兵攻雄王雄王兵強將勇王屢敗	Sơ vương lũ hưng binh công Hùng Vương, Hùng Vương binh cường tướng dũng, vương lũ bại.
雄王謂王曰我有神力蜀不畏乎遂廢武備而不修需酒食以爲樂	Hùng Vương vị vương viết: "Ngã hữu thần lực, Thục bất uý hồ?" Toại phế vũ bị nhi bất tu, nhu tửu thực dĩ vi lạc.
蜀軍逼近猶沉醉未醒乃吐血墮井薨其倒戈降蜀王	Thục quân bức cận, do trầm tuý vị tỉnh, nãi thổ huyết đoạ tỉnh hoăng, kì chúng đảo qua hàng Thục Vương.
於是築城于越裳廣千丈盤旋如螺形故號螺城又名思龍城唐人呼曰崑崙城謂其城最高也	Ư thị trúc thành vu Việt Thường, quảng thiên trượng, bàn toàn như loa hình, cố hiệu Loa Thành, hựu danh Tư Long thành [Đường nhân hô viết Côn Lôn thành vị kì thành tối cao dã].
其城築畢旋崩王患之乃齋戒禱于天地山川神祇再興功築之	Kì thành trúc tất toàn băng, vương hoạn chi, nãi trai giới đảo vu thiên địa sơn xuyên thần kì, tái hưng công trúc chi.
丙午三年東周君元年	Bính Ngọ, tam niên [Đông Chu quân nguyên niên].
春三月忽有神人到城門指城	Xuân tam nguyệt, hốt hữu thần nhân đáo thành môn, chỉ thành..
笑曰工築何時成乎	tiếu viết: "Công trúc hà thời thành hồ!".
王接入殿上問之答曰待江使來	Vương tiếp nhập điện thượng vấn chi, đáp viết: "Đãi giang sứ lai".
即辭去	Tức từ khứ.
後日早王出城門果見金龜從東浮江來稱江使能説人言談未來事	Hậu nhật tảo, vương xuất thành môn, quả kiến kim quy tòng đông phù giang lai, xưng giang sứ, năng thuyết nhân ngôn, đàm vị lai sự.
王甚喜以金盤盛之置盤殿上	Vương thậm hỉ, dĩ kim bàn thịnh chi, trí bàn điện thượng.
問城崩之由金龜曰此本土山川精氣前王子附之爲國報仇隱於七耀山	Vấn thành băng chi do, kim quy viết: "Thử bản thổ sơn xuyên tinh khí tiền vương tử phụ chi vi quốc báo cừu, ẩn ư Thất Diệu sơn.
山中有鬼是前代伶人死葬於此化爲鬼	Sơn trung hữu quỷ, thị tiền đại linh nhân tử táng ư thử, hoá vi quỷ.
山傍有舘舘主翁曰悟空者有一女并白鷄一隻是精之餘氣凣人往來至此夜宿必死鬼害之也	Sơn bàng hữu quán, quán chủ ông viết Ngộ Không giả, hữu nhất nữ tịnh bạch kê nhất chích, thị tinh chi dư khí, phàm nhân vãng lai chí thử dạ túc tất tử quỷ hại chi dã.
所以能嘯聚成群墮壞其城	Sở dĩ năng khiếu tụ thành quần, đoạ hoại kì thành.
若殺白鷄除此精氣則其城自爾完	Nhược sát bạch kê trừ thử tinh khí, tắc kì thành tự nhĩ hoàn..
固矣	cố hĩ".
王將金龜就舘假爲宿泊人	Vương tương kim quy tựu quán, giả vi túc bạc nhân.
舘主翁曰郎君即貴人也願速行勿留取禍	Quán chủ ông viết: "Lang quân tức quý nhân dã, nguyện tốc hành, vật lưu thủ hoạ".
王笑曰死生有命鬼魅何能爲	Vương tiếu viết: "Tử sinh hữu mệnh, quỷ mị hà năng vi?".
乃留宿焉	Nãi lưu túc yên.
夜聞鬼精從外來呼開門金歸叱之鬼不能入鷄鳴時鬼走散	Dạ văn quỷ tinh tòng ngoại lai hô khai môn, kim quy sất chi, quỷ bất năng nhập, kê minh thời chúng quỷ tẩu tán.
金龜請王追躡之	Kim quy thỉnh vương truy niếp chi.
至七耀山精氣收藏殆盡王還舘	Chí Thất Diệu sơn tinh khí thu tàng đãi tận, vương hoàn quán.
明且舘主翁以爲王必死呼人就舘欲行收葬	Minh thả quán chủ ông dĩ vi vương tất tử, hô nhân tựu quán, dục hành thu táng.
見王欣笑語趍拜曰郎君安得若此必聖人也	Kiến vương hân tiếu ngữ, xu bái viết: "Lang quân an đắc nhược thử, tất thánh nhân dã".
王乞取白鷄殺而祭之	Vương khất thủ bạch kê sát nhi tế chi.
鷄殺女亦子	Kê sát, nữ diệc tử.
即令人掘山得古樂噐及其骸骨燒碎爲灰散之江河妖氣遂絶	Tức lệnh nhân quật sơn, đắc cổ nhạc khí cập kì hài cốt, thiêu toái vi hôi, tán chi giang hà, yêu khí toại tuyệt.
自此築城不	Tự thử trúc thành bất..
過半月而成	quá bán nguyệt nhi thành.
金龜辭歸	Kim quy từ quy.
王感謝請曰荷君之恩其城以固如有外侮何以禦之	Vương cảm tạ, thỉnh viết: "Hà quân chi ân, kì thành dĩ cố, như hữu ngoại vũ, hà dĩ ngự chi?".
金歸乃脱其爪付王曰國家安危自有天數人亦防之倘見賊來用此靈爪爲弩機向賊發箭無憂也	Kim quy nãi thoát kì trảo phó vương viết: "Quốc gia an nguy tự hữu thiên số, nhân diệc phòng chi; thảng kiến tặc lai dụng thử linh trảo vi nỗ cơ, hướng tặc phát tiễn vô ưu dã".
王命臣臯魯或云皐通造神弩以爪爲機名曰靈光金爪神弩	Vương mệnh thần Cao Lỗ [Hoặc vân Cao Thông] tạo thần nỗ, dĩ trảo vi cơ, danh viết Linh Quang Kim Trảo Thần Nỗ.
唐高王平南詔兵還過武寧州夜夢異人稱高魯曰昔輔安陽王有却敵大功被貉侯譖去之没後天帝憫其無過命賜一條江山管領都統將軍征討寇賊及農時稼穡皆主之	[Đường Cao vương bình Nam Chiếu binh hoàn quá Vũ Ninh châu, dạ mộng dị nhân xưng Cao Lỗ viết: "Tích phụ An Dương Vương hữu khước địch đại công, bị Lạc hầu tiếm, khứ chi, một hậu, thiên đế mẫn kì vô quá, mệnh tứ nhất điều giang sơn, quản lĩnh đô thống tướng quân, chinh thảo khấu tặc, cập nông thời giá sắc giai chủ chi.
今既從明公討平逆虜復至本部不告謝非禮也	Kim ký tòng Minh công thảo bình nghịch lỗ, phục chí bản bộ, bất cáo tạ phi lễ dã".
高王寤以語僚属有詩曰美矣交州地悠悠萬載來	Cao Vương ngộ, dĩ ngữ liêu thuộc, hữu thi viết: Mĩ hĩ Giao Châu địa, du du vạn tải lai.
古賢能得見終不負灵臺	Cổ hiền năng đắc kiến, chung bất phụ linh đài].
壬子九年東周君七年燕趙魏韓齊秦楚七國	Nhâm tí, cửu niên [Đông Chu Quân thất niên Yến, Triệu, Nguỵ,
庚辰三十七年秦始皇吕政二十六年	Canh thìn, tam thập thất niên [Tần Thuỷ Hoàng Lữ Chính nhị thập lục niên].
秦併六國稱皇帝	Tần tính lục quốc, xưng hoàng đế.
時我交趾慈廉人李翁仲身長二丈三尺少時往鄕邑供力役爲長官所笞遂入仕秦至司隷校尉	Thời ngã Giao Chỉ Từ Liêm nhân, Lí Ông Trọng thân trường nhị trượng tam xích, thiếu thời vãng hương ấp cung lực dịch, vị trưởng quan sở si, toại nhập sĩ Tần chí Tư lệ hiệu uý.
始皇得天下使將兵守臨洮聲振匈奴	Thuỷ Hoàng đắc thiên hạ, sử tương binh thủ Lâm Thao, thanh chấn Hung Nô.
及老歸田里卒	Cập lão quy điền lí tốt.
始皇以爲異鑄銅爲像置咸陽司馬門腹中容數十人潜摇動之匈奴以爲生校尉不敢犯唐趙昌爲交州都護常夜夢與翁仲講春秋左氏傳因訪其故宅在焉立祠𦤶祭	Thuỷ Hoàng dĩ vi dị, chú đồng vi tượng, trí Hàm Dương Tư Mã môn, phúc trung dung số thập nhân, tiềm dao động chi, Hung Nô dĩ vi sinh hiệu uý bất cảm phạm [Đường Triệu Xương vi Giao Châu đô hộ, thường dạ mộng dữ Ông Trọng giảng Xuân Thu, Tả Thị Truyện, nhân phỏng kì cố trạch tại yên, lập từ trí tế.
迨高王破南詔常顯應助順高王重修祠宇雕木立像號李校尉其神祠在慈廉縣瑞香社	Đãi Cao Vương phá Nam Chiếu, thường hiển ứng trợ thuận Cao Vương trùng tu từ vũ, điêu mộc lập tượng, hiệu Lí hiệu uý. Kì thần từ tại Từ Liêm huyện, Thuỵ Hương xã].
丁亥四十四年秦始皇三十三年	Đinh Hợi, tứ thập tứ niên, [Tần Thuỷ Hoàng tam thập tam niên].
