han	phien_am
大越史記外紀全書卷之二	Đại Việt Sử Ký Ngoại Kỷ Toàn Thư Quyển Chi Nhị.
趙紀	Triệu KỶ.
武帝	Vũ Đế.
在位七十一年壽一百二十歳	Tại vị thất thập nhất niên, thọ nhất bách nhị thập nhất tuế.
趙氏因秦衰乱殺秦長吏㨿有領南之地称帝𭁈漢抗衡享國傳祚百年而後亡亦英䧺之英也	[Triệu thị, nhân Tần suy loạn, sát Tần trưởng lại, cứ hữu Lĩnh Nam chi địa, xưng đế, dữ Hán kháng hành, hưởng quốc truyền tộ bách niên nhi hậu vong, diệc anh hùng chi chủ dã].
姓趙諱它漢真定人也建都番禺今在廣東是也	Tính Triệu huý Đà, Hán Chân Định nhân dã, kiến đô Phiên Ngung [kim tại Quảng Đông thị dã].
甲午元年秦二世三年	Giáp Ngọ, nguyên niên, [Tần Nhị Thế tam niên].
帝併有林邑象郡之地自立爲南帝王	Đế tính hữu Lâm Ấp, Tượng Quận chi địa, tự lập vi Nam Đế Vương.
乙未二年西楚覇王項籍元年漢王劉元年	Ất Mùi, nhị niên, [Tây Sở Bá Vương Hạng Tịch nguyên niên, Hán Vương Lưu Bang nguyên niên].
是歲秦亡	Thị tuế Tần vong.
丁酉四年楚項籍三年冬十月晦日食十一月晦日食	Đinh Dậu, tứ niên, [Sở Hạng Tịch tam niên; Đông, thập nguyệt, hối, nhật thực Thập nhất nguyệt, hối, nhật thực.
戌五年楚項籍四年漢劉四年	Mậu Tuất, ngũ niên [Sở Hạng Tịch tứ niên; Hán Lưu Bang tứ niên].
秋七月有星孛于大角	Thu, thất nguyệt, hữu tinh bột vu Đại Giác.
几亥六年漢髙帝五年	Kỉ Hợi, lục niên [Hán Cao Đế ngũ niên].
春二月漢王即皇帝位	Xuân, nhị nguyệt, Hán Vương tức hoàng đế vị.
是歳西楚亡	Thị tuế Tây Sở vong.
癸卯十年漢髙帝九年	Quý Mão, thập niên [Hán Cao Đế cửu niên].
帝令二使典主交趾九真二郡	Đế lệnh nhị sứ điển chủ Giao Chỉ, Cửu Chân nhị quận.
乙巳十二年漢髙帝十一年	Ất Tị, thập nhị niên [Hán Cao Đế thập nhất niên].
漢即定天下聞帝亦已王越因遣陸賈往拜帝爲南越王授壐綬剖符通使使和集百粤毋爲冦災	Hán tức định thiên hạ, văn đế diệc dĩ vương Việt, nhân khiến Lục Giả vãng bái đế vi Nam Việt Vương, thụ tỉ thụ phẫu phù thông sứ, sứ hoà tập Bách Việt, vô vi khấu tai.
