han	phien_am
大越史記外紀全書卷之三	Đại Việt Sử Ký Ngoại Kỷ Toàn Thư Quyển Chi Tam.
屬西漢紀	Thuộc Tây Hán KỶ.
辛未漢元封元年	Tân Mùi [Hán Nguyên Phong nguyên niên].
我越既属于漢漢以石戴爲九郡太守漢制以州領郡除珠崖耳皆在海中餘七郡属交州戴爲州太守西漢守任治所在龍淵即龍編東漢在麋冷即安朗及戴卒漢昭帝以周章代之	Ngã Việt ký thuộc vu Hán, Hán dĩ Thạch Đái vi cửu quận Thái Thú [Hán chế dĩ châu lãnh quận, trừ Châu Nhai Nhĩ giai tại hải trung, dư thất quận thuộc Giao Châu, Đái vi châu Thái thú. Tây Hán thú nhiệm trị sở tại Long Uyên tức Long Biên, Đông Hán tại Mê Linh tức Yên Lãng], Cập Đái tốt, Hán Chiêu Đế dĩ Chu Chương đại chi.
至王莽末交州牧鄧讓及諸郡閉境自守漢將岑彭素厚善讓與讓書陳漢家威德	Chí Vương Mãng mạt, Giao Châu mục Đặng Nhượng cập chư quận bế cảnh tự thủ, Hán tướng Sầm Bành tố hậu thiện Nhượng, dữ Nhượng thư trần Hán gia uy đức.
於是率交趾太守錫光及諸郡太守杜穆等遣使貢献于漢	Ư thị suất Giao Chỉ Thái thú Tích Quang cập chư quận Thái thú Đỗ Mục đẳng khiển sử cống hiến vu Hán.
漢悉封爲列侯	Hán tất phong vi liệt hầu.
當時漢光武建武五年己丑也	Đương thời Hán Quang Vũ Kiến Vũ Ngũ niên Kỷ Sửu dã.
錫光漢中人在	Tích Quang Hán Trung nhân, tại..
交止敎民以禮義	Giao Chỉ, giáo dân dĩ lễ nghĩa.
復以任延爲九真太守	Phục dĩ Nhâm Diên vi Cửu Chân Thái thú.
延宛人	Diên Uyển nhân.
九真俗以漁獵爲業不事耕種	Cửu Chân tục dĩ ngư liệp vi nghiệp, bất sự canh chủng.
延乃敎民墾闢歲歲耕種百姓充給	Diên nãi giáo dân khẩn tịch tuế tuế canh chủng, bách tính sung cấp.
貧民無聘禮者延令長吏以下省俸祿以賑助之同時娶者二千人	Bần dân vô sính lễ giả, Diên lệnh trưởng lại dĩ hạ tỉnh bổng lộc dĩ chẩn trợ chi, đồng thời thú giả nhị thiên nhân.
視事四年召還	Thị sự tứ niên triệu hoàn.
九真人爲之立祠	Cửu Chân nhân vị chi lập từ.
其生子置名皆曰任焉	Kì sinh tử trí danh giai viết Nhâm yên.
嶺南文風始二守焉	Lĩnh Nam văn phong thuỷ nhị thú yên.
己亥漢光武劉秀建武十五年	Kỉ Hợi, [Hán Quang Vũ Lưu Tú, Kiến Vũ thập ngũ niên].
交趾太守蘇定爲政貪暴徵女王起兵攻之	Giao Chỉ Thái thú Tô Định vi chính tham bạo, Trưng Nữ Vương khởi binh công chi.
右属于漢自辛未至己亥凣一百四十九年	Hữu thuộc vu Hán, tự Tân Mùi chí Kỷ Hợi, phàm nhất bách tứ thập cửu niên.
