han	phien_am
黎文休曰徵側徵貳以女子一呼而九真日南合浦及嶺外六十五城皆應之其立國稱王易如反掌可見我越形勢足致覇王之業也	Lê Văn Hưu viết: Trưng Trắc, Trưng Nhị dĩ nữ tử, nhất hô nhi Cửu Chân, Nhật Nam, Hợp Phố cập Lĩnh Ngoại lục thập ngũ thành giai ứng chi, kì lập quốc xưng vương dị như phản chưởng, khả kiến ngã Việt hình thế túc trí bá vương chi nghiệp dã.
惜乎繼趙之後以至吳氏之前千餘年之間男子徒自低頭束手爲北人臣僕曾不愧二徵之女子吁可謂自棄矣	Tích hồ kế Triệu chi hậu dĩ chí Ngô thị chi tiền, thiên dư niên chi gian, nam tử đồ tự đê đầu thúc thủ vi Bắc nhân thần bộc, tằng bất quý nhị Trưng chi nữ tử? Hu! Khả vị tự khí hĩ.
右徵女王起庚子終任寅凣三年	Hữu Trưng Nữ Vương, khởi Canh Tí, chung Nhâm dần, phàm tam niên.
属東漢紀	Thuộc Đông Hán KỶ.
癸卯四年漢建武春正月十九年	Quý Mão, tứ niên [Hán Kiến Vũ Xuân, chính nguyệt, thập cửu niên].
徵女王及其妹貳與漢	Trưng nữ vương cập kì muội Nhị dữ Hán..
兵拒戰势孤遂皆陷没	binh cự chiến, thế cô toại giai hãm một.
馬援追擊其餘都陽等	Mã Viện truy kích kì dư chúng Đô Dương đẳng.
至居封縣降之乃立銅柱爲漢極𪽐	Chí Cư Phong huyện hàng chi, nãi lập đồng trụ vi Hán cực giới.
銅柱相傳在欽州古洞上	[Đồng trụ tương truyền tại Khâm châu Cổ Lâu động thượng.
援有誓云銅柱折交州滅我越人過其下每以石培之遂成丘陵恐其折也唐馬總又建二銅柱於漢故處記著馬德以其爲伏波之裔今未詳所在左右二江合有其一援以西于縣有户三萬三千因請分爲封溪望海二縣漢帝從之	Viện hữu thệ vân: "Đồng trụ triết, Giao Châu diệt". Ngã Việt nhân quá kì hạ, mỗi dĩ thạch bồi chi, toại thành khâu lăng, khủng kì triết dã. Đường Mã tổng hựu kiến nhị đồng trụ ư Hán cố xứ ký trứ Mã đức dĩ minh kì vi Phục Ba chi duệ, kim vị tường sở tại. Tả hữu nhị giang hợp hữu kì nhất] Viện dĩ Tây Vu huyện hữu hộ tam vạn tam thiên, Nhân thỉnh phân vi Phong Khê Vọng Hải nhị huyện, Hán đế tòng chi.
援又築蠒江城於封溪	Viện hựu trúc trùng Giang thành ư Phong Khê.
其城圓如蠒故以爲名	Kì thành viên như trùng, cố dĩ vi danh.
我越遂属于漢	Ngã Việt toại thuộc vu Hán.
後三年援還	Hậu tam niên, Viện hoàn.
土人哀慕徵女王立祠奉事之祠在福祿縣喝江社番禺舊地城亦有之	Thổ nhân ai mộ Trưng Nữ Vương lập từ phụng sự chi [Từ tại Phúc Lộc huyện, Hát Giang xã, Phiên Ngung cựu địa thành diệc hữu chi].
史臣吳士連曰徵氏憤漢守之虐奮臂一呼而	Sử thần Ngô Sĩ Liên viết: Trưng thị phẫn Hán thú chi ngược, phấn tí nhất hô nhi..
我越國統幾乎復合其英雄氣槩𡸈獨於生時建國稱王没後能捍灾禦患	ngã Việt quốc thống cơ hồ phục hợp, kì anh hùng khí khái khởi độc ư sinh thời kiến quốc xưng vương, một hậu năng hãn tai ngự hoạn.
凣遭灾傷水旱禱之無不應	Phàm tao tai thương thuỷ hạn, đảo chi vô bất ứng.
徵妹亦然	Trưng muội diệc nhiên.
蓋女有士行而其雄勇之氣在天地間不以身之没而有餒也	Cái nữ hữu sĩ hạnh, nhi kì hùng dũng chi khí, tại thiên địa gian, bất dĩ thân chi một nhi hữu nỗi dã.
大丈夫𡸈可不養其剛直正大之氣哉甲辰漢建武二十年	Đại trượng phu khởi khả bất dưỡng kì cương trực chính đại chi khí tai? Giáp Thìn, [Hán Kiến Vũ nhị thập niên].
自此以後歷漢明帝章帝和帝殤帝安帝凣五世共八十二年惟明帝時南陽人李善守日南以惠愛爲政𢙇來異俗	Tự thử dĩ hậu, lịch Hán Minh Đế, Chương Đế, Hoà Đế, Thương đế, An Đế, phàm ngũ thế, cộng bát thập nhị niên, duy Minh Đế thời, Nam Dương nhân Lí Thiện thú Nhật Nam dĩ huệ ái vi chính, hoài lai dị tục.
遷九真太守	Thiên Cửu Chân Thái thú.
丙子漢順帝保永和元年	Bính Tí, [Hán Thuận Đế bảo Vĩnh Hoà nguyên niên].
太守周僘以交州在九圍之外百	Thái thú Chu Xưởng dĩ Giao Châu tại cửu vi chi ngoại, bách..
越之表上表請置方伯	Việt chi biểu, thượng biểu thỉnh trí phương bá.
漢帝以僘爲刺史都監郡縣	Hán đế dĩ Xưởng vi Thứ sử, đô giám quận huyện.
丁丑漢永和二年	Đinh Sửu, [Hán Vĩnh Hoà nhị niên].
日南象林蠻古越裳國界區憐等攻郡縣殺長吏	Nhật Nam Tượng Lâm Man [Cổ Việt Thường quốc giới] Khu Liên đẳng công quận huyện, sát trưởng lại.
交州刺史樊演發州兵及九真兵萬餘人救之兵士憚遠役	Giao Châu Thứ sử Phàn Diễn phát châu binh cập Cửu Chân binh vạn dư nhân cứu chi, binh sĩ đạn viễn dịch.
秋七月二郡兵反攻府治其轉盛	Thu, thất nguyệt, nhị quận binh phản công phủ trị, kì thế chuyển thịnh.
戊寅漢永和三年	Mậu Dần, [Hán Vĩnh Hoà tam niên].
夏五月侍御史賈昌與州郡併力討區憐等不克爲所攻圍歲餘兵毂不繼	Hạ, ngũ nguyệt, Thị ngự sử Giả Xương dữ châu quận tịnh lực thảo Khu Liên đẳng bất khắc, vị sở công vi tuế dư, binh cốc bất kế.
漢帝召公卿百官及四府椽属問以方畧皆議遣將發荆楊	Hán Đế triệu công khanh bách quan cập tứ phủ chuyên thuộc vấn dĩ phương lược, giai nghị khiển tướng phát Kinh Dương..
兖豫四萬人赴之	Duyện Dự tứ vạn nhân phó chi.
李固駁曰荆楊盗賊盤結不散長沙桂陽數被徵發如復擾動必更生患	Lí Cố bác viết: Kinh, Dương đạo tặc bàn kết bất tán; Trường Sa, Quế Dương sổ bị trưng phát, như phục nhiễu động, tất cánh sinh hoạn.
兖豫之人遠赴萬里詔書迫促必𦤶叛亡	Duyện Dự chi nhân viễn phó vạn lí, chiếu thư bách xúc, tất trí phản vong.
