han	phien_am
丙寅漢中平三年	Bính Dần [Hán Trung Bình tam niên].
黎文休曰觀史至我越無主之時爲北人刺史之無清行者所困	Lê Văn Hưu viết: "Quan sử chí ngã Việt vô chủ chi thời, vị Bắc nhân Thứ sử chi vô thanh hành giả sở khốn.
北京地遠無所告訴不覺愧感父集翼見精誠如後唐明宗時焚香祝天願天爲我越早生聖人自帝其國以免北人之侵漁者也	Bắc Kinh địa viễn, vô sở cáo tố, bất giác quý cảm phụ tập, dục kiến tinh thành như hậu Đường Minh Tông thời, phần hương chúc thiên: nguyện thiên vi ngã Việt, tảo sinh thánh nhân, tự đế kì quốc, dĩ miễn Bắc nhân chi xâm ngư giả dã.
右属于漢自癸卯至丙寅凣一百四十四年	Hữu thuộc vu Hán, Tự Quý Mão chí Bính Dần, phàm nhất bách tứ thập tứ niên.
士王紀	Sĩ Vương KỶ.
士王在位四十年壽九十年王寬厚謙虚人心愛戴保全越之地以當三國之強既明且智足称賢君	Sĩ Vương, Tại vị tứ thập niên, Thọ cửu thập niên [Vương khoan hậu khiêm hư, nhân tâm ái đái, bảo toàn Việt chi địa, dĩ đương tam quốc chi cường, ký minh thả trí, túc xưng hiền quân].
姓士諱燮字彦威蒼梧廣信人也	Tính Sĩ, huý Nhiếp, tự Ngạn Uy, Thương Ngô Quảng Tín nhân dã.
其先魯國汶陽人也北朝王莽之亂避地于我越六世至王	Kì tiên Lỗ quốc Vấn Dương nhân dã, Bắc triều Vương Mãng chi loạn, tị địa vu ngã Việt lục thế chí vương.
父賜漢桓帝時爲日南太守	Phụ Tứ, Hán Hoàn Đế thời vi Nhật Nam Thái thú.
王少游學漢京從穎川劉子奇治左氏春秋爲注解舉孝廉補尙書郎以公事免官父䘮闋音鈌盡也後舉荗才除巫陽令遷交州太守封龍度亭侯都漊漊一作樓	Vương thiếu du học Hán kinh, tòng Dĩnh Xuyên Lưu Tử Kì trị Tả thị Xuân Thu, vi chú giải, cử Hiếu Liêm, bổ Thượng thư lang, dĩ công sự miễn quan; phụ tang khuyết [Âm khuyết tận dã] hậu cử Mậu tài, trừ vu Dương lệnh thiên Giao Châu Thái thú, phong Long Độ Đình Hầu, đô doanh Lâu [Lâu nhất tác lâu.
即龍編後陳朝追封善感嘉應靈武大王	tức Long Biên] Hậu Trần triều truy phong Thiện Cảm Gia Ứng Linh Vũ Đại Vương.
丁卯元年漢中平四年王有第三人一鮪武	Đinh Mão, nguyên niên, [Hán Trung Bình tứ niên] Vương hữu đệ tam nhân Nhất, Vị, Vũ.
時刺史朱	Thời Thứ sử Chu..
符爲夷賊所殺州郡擾亂王乃表一領合浦太守鮪領九真太守武領南海太守	Phù vị Di tặc sở sát, châu quận nhiễu loạn, Vương nãi biểu Nhất lĩnh Hợp Phố Thái thú, Vị lĩnh Cửu Chân Thái thú, Vũ lĩnh Nam Hải Thái thú.
王噐禮寬厚謙虚下士國人愛之皆呼曰王	Vương khí lễ khoan hậu, khiêm hư hạ sĩ, quốc nhân ái chi, giai hô viết vương.
漢之名士避難往依者以百數	Hán chi danh sĩ tị nạn vãng y giả dĩ bách sổ.
庚辰十四年漢献帝恊刺史李進上言於漢帝曰率土之濱莫非王臣今建安五年	Canh Thìn, thập tứ niên, [Hán Hiến Đế hiệt Thứ sử Lí Tiến thượng ngôn ư Hán Đế viết: "Suất thổ chi tân mạc phi vương thần, kim Kiến An ngũ niên].
登仕朝廷皆中州之士未嘗奬勸遠人	đăng sĩ triều đình giai Trung Châu chi sĩ, vị thường tưởng khuyến viễn nhân".
辭意感切多所援引	Từ ý cảm thiết, đa sở viện dẫn.
漢帝詔我州之有孝廉荗才許除補属州長吏不得任中州	Hán đế chiếu ngã châu chi hữu Hiếu liêm Mậu tài, hứa trừ bổ thuộc châu trưởng lại, bất đắc nhậm Trung Châu.
進復上疏曰所舉孝廉請與十二州博士以人才專對	Tiến phục thượng sớ viết: "Sở cử Hiếu liêm thỉnh dữ thập nhị châu bác sĩ, dĩ nhân tài chuyên đối".
而有司恐遠人虚誕毀折中朝不許	Nhi hữu ti khủng viễn nhân hư đản, huỷ triết trung triều, bất hứa.
時我越人李琴宿衛在臺遂邀鄕人卜龍等五六人當正元萬國朝會之目俯伏殿庭曰皇恩不均	Thời ngã Việt nhân Lí Cầm túc vệ tại đài, toại yêu hương nhân Bốc Long đẳng ngũ lục nhân, đương chính nguyên vạn quốc triều hội chi mục, phủ phục điện đình viết: "Hoàng ân bất quân".
有司問其故琴曰南越遷遠不爲皇天所覆后土所載故甘雨不降凉風不飛	Hữu ti vấn kì cố? Cầm viết: "Nam Việt thiên viễn bất vi hoàng thiên sở phú, hậu thổ sở tải, cố cam vũ bất giáng lương, phong bất phi".
辭意懇苦	Từ ý khẩn khổ.
詔慰勞之以我荗才一人爲夏陽令孝廉一人爲六合令琴交州人後李琴仕至司隷校尉張重爲金城太守	Chiếu uý lạo chi, dĩ ngã Mậu tài nhất nhân vi Hạ Dương lệnh, Hiếu liêm nhất nhân vi Lục Hợp lệnh [Cầm Giao Châu nhân] Hậu Lí Cầm sĩ chí Tư lệ hiệu uý, Trương Trọng vi Kim Thành thái thú.
