han	phien_am
右属于吳晋宋齊梁起丁未終庚申共三百十四年	Hữu thuộc vu Ngô, Tấn, Tống, Tề, Lương, khởi Đinh Mùi, chung Canh Thân, Cộng tam bách thập tứ niên.
前李紀	Tiền Lí KỶ.
前李南帝	Tiền Lí Nam Đế.
在位七年	Tại vị thất niên.
帝志在滅賊救民不幸遭陳霸先侵伐飲恨而没	[Đế chí tại diệt tặc cứu dân, bất hạnh tao Trần Bá Tiên xâm phạt, ẩm hận nhi một.
惜夫	Tích phu!].
帝姓李諱賁龍興太平人也	Đế tính Lí, huý Bí, Long Hưng, Thái Bình nhân dã.
其先北人西漢末苦於征伐避居土七世遂爲南人	Kì tiên Bắc nhân, Tây hán mạt, khổ ư chinh phạt, tị cư Nam thổ, thất thế toại vi Nam nhân.
有文武才初仕梁遭亂歸太平	Hữu văn vũ tài, sơ sĩ Lương, tao loạn quy Thái Bình.
時守令暴刻林邑寇邊帝起兵攻逐之稱爲南帝國	Thời thú lệnh bạo khắc, Lâm Ấp khấu biên, Đế khởi binh công trục chi, xưng vi Nam Đế, quốc..
號萬春都龍邊	hiệu Vạn Xuân, đô Long Biên.
辛酉元年梁七年	Tân Dậu, nguyên niên [Lương thất niên].
大同交州刺史武林侯蕭諮以刻暴失眾心	Đại Đồng Giao Châu Thứ sử Vũ Lâm hầu Tiêu Tư, dĩ khắc bạo thất chúng tâm.
帝世家豪右天資奇才仕不得志	Đế thế gia hào, hữu thiên tư kì tài, sĩ bất đắc chí.
又有并韶者富於詞藻詣繏求官	Hựu hữu Tinh Thiều giả phú ư từ tảo, nghệ tuyển cầu quan.
梁吏部尙書蔡樽以并姓無前賢除廣陽門郎	Lương Lại bộ Thượng thư Sái Tôn dĩ Tinh tính vô tiền hiền, trừ Quảng Dương môn lang.
韶耻之還鄕里從帝謀起兵	Thiều sỉ chi, hoàn hương lí, tòng đế mưu khởi binh.
帝時監九德州因連結數州豪傑惧響應	Đế thời giám Cửu Đức châu, nhân liên kết sổ châu hào kiệt, cụ hưởng ứng.
有朱鳶酋長趙肅者服帝才德首率眾歸焉	Hữu Chu Diên tù trưởng Triệu Túc giả, phục đế tài đức, thủ suất chúng quy yên.
諮覺之賄輸于帝奔還廣州	Tư giác chi, hối thâu vu đế, bôn hoàn Quảng Châu.
帝出據州城即龍編也	Đế xuất cứ châu thành [Tức Long Biên dã].
壬戌二年梁大同八年	Nhâm Tuất, nhị niên, [Lương Đại Đồng bát niên].
冬十二月梁帝命孫冋盧子䧺	Đông, thập nhị nguyệt, Lương đế mệnh Tôn Quýnh, Lư Tử Hùng..
來侵	lai xâm.
冏以春瘴方起請待秋時	Quýnh dĩ xuân chướng phương khởi, thỉnh đãi thu thời.
廣州刺史新喻侯瑍不許武林侯諮趣之	Quảng Châu Thứ sử Tân Dụ hầu Hoán bất hứa, Vũ Lâm hầu tư thú chi.
子䧺等到合浦死者十六七眾潰而歸	Tử Hùng đẳng đáo Hợp Phố, tử giả thập lục thất, chúng hội nhi quy.
諮誣奏冏及子䧺追遛皆賜死	Tư vu tấu Quýnh cập Tử Hùng truy lưu, giai tứ tử.
癸亥三年梁大同九年	Quý Hợi, tam niên, [Lương Đại Đồng cửu niên].
夏四月林邑王寇日南帝命其將范脩擊破之于九德	Hạ, tứ nguyệt, Lâm Ấp vương khấu Nhật Nam, Đế mệnh kì tướng Phạm Tu kích phá chi vu Cửu Đức.
甲子天德元年梁大同十年	Giáp Tí, Thiên Đức nguyên niên, [Lương Đại Đồng thập niên].
春正月帝因勝敵自稱南越帝即位建元置百官建國號曰萬春望社稷至萬世也	Xuân, chính nguyệt, Đế nhân thắng địch tự xưng Nam Việt Đế, tức vị, kiến nguyên, trí bách quan, kiến quốc hiệu viết: Vạn Xuân, vọng xã tắc chí vạn thế dã.
起萬壽殿以爲朝會之所	Khởi Vạn Thọ điện dĩ vi triều hội chi sở.
以趙肅爲太傅并韶范脩等並拜將相官	Dĩ Triệu Túc vi Thái Phó, Tịnh Thiều, Phạm Tu đẳng tịnh bái tướng tướng quan.
乙丑二年梁大同十一年	Ất Sửu, nhị niên [Lương Đại Đồng thập nhất niên].
夏六月梁以楊㬓純招反又七妙反爲交州刺史陳霸先爲司馬將兵來侵命定州刺史蕭勃會㬓於江西	Hạ, lục nguyệt, Lương dĩ Dương Thiêu [Thuần chiêu phiên hựu thất diệu phiên], vi Giao Châu Thứ sử, Trần Bá Tiên vi Tư mã, tương binh lai xâm, mệnh Định Châu Thứ sử Tiêu Bột hội Thiêu ư Giang Tây.
勃知士卒憚遠役因詭説留㬓	Bột tri sĩ tốt đạn viễn dịch, nhân nguỵ thuyết lưu Thiêu.
㬓集諸將問計	Thiêu tập chư tướng vấn kế.
覇先曰交州叛换罪由宗室遂使溷亂數州逋誅累歲	Bá Tiên viết: "Giao Châu phản hoán, tội do tông thất, toại sử hỗn loạn sổ châu, bô tru luỹ tuế.
定州欲偷安目前不顧𡐡計	Định châu dục thâu an mục tiền, bất cố đại kế.
